SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE3DaEOmmiPhcK;;0,295;20,312;ID_0eff8868-9bc0-4792-bb39-b2e31f419308;1867836909;LOD2;1010;385790,5;5821348,9;180;0;115,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DzFdgIyIOcG;;0,286;21,837;ID_03f175ee-949c-487b-93db-10155c80257f;1720755271;LOD2;1010;385057,2;5820155,2;180;0;319,3;30,00;138,7;14;14,46;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500004Ft;;0,357;22,383;ID_d67406a6-17de-4ec0-a079-4c26186f86cb;2109330675;LOD2;1010;385582,7;5820146,6;180;0;596,1;30,00;138,7;26;26,86;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dtses6fSJg2;1900;0,286;21,935;ID_089aa15c-e986-49a3-96dd-c50c9e5c2e1c;944910245;LOD2;1010;385203,7;5820882,4;181;11;150,9;40,00;133,2;9;8,93;992;29;54;135;232;223;229;205;205;149;71;40;23;
DEBE3Dtses6fSJg2;1900;0,286;21,935;ID_d8c68390-fe58-4a51-b92e-55e3f7552552;146002835;LOD2;1010;385203,7;5820882,4;1;10;178,8;30,00;138,7;8;8,26;1033;25;46;103;192;204;220;193;182;120;58;28;19;
DEBE3D04YY50000Lwj;1900;1,015;3,423;ID_d7c04967-d278-45c6-9265-234264b228d0;1066363801;LOD2;2120;385287,5;5820937,8;180;0;90,9;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DoLH2ImEbFi;1905;0,334;22,358;ID_d013566e-5a72-449f-9153-96e64066c546;261300032;LOD2;1010;384710,2;5820636,9;287;45;79,2;40,00;126,8;4;3,78;944;29;55;132;212;209;226;188;198;141;68;37;23;
DEBE3DoLH2ImEbFi;1905;0,334;22,358;ID_3a5cf88c-bee8-4185-a00d-1bd2231595f5;58153034;LOD2;1010;384710,2;5820636,9;287;4;134,0;30,00;138,7;6;6,20;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE3DC1k8DcK4Qv;2013;0,092;60,611;ID_5c9ab851-a4f1-4d79-a0f2-5309e2a143ab;1750932914;LOD2;2520;385310,7;5820395,0;180;0;250,9;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DK56s0w830s;1905;0,279;21,025;ID_9e022988-087d-4319-a5eb-6e371d6c00a0;1058849961;LOD2;1010;384769,3;5820612,9;309;3;100,7;30,00;138,7;4;4,13;1033;29;51;120;213;216;229;201;196;136;66;35;23;
DEBE3D04YY50000MYe;1955;0,314;18,534;ID_e309dec5-10d1-4677-88d1-f122d4cff01a;1052316040;LOD2;1010;384771,7;5821073,7;180;0;783,1;30,00;138,7;35;36,15;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3De8J2eFzRZz;1900;0,294;9,427;ID_083261e2-fc36-4527-825b-da829a746cdd;1971635918;LOD2;1010;385176,9;5820798,6;180;0;125,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DGpr2tfZD0L;1925;0,828;3,678;ID_5c59a96e-a9b9-4525-9cb1-b8f8aec94eb2;1982260368;LOD2;2111;385490,2;5820664,6;184;3;251,4;30,00;138,7;11;11,36;1033;29;52;128;224;220;229;204;201;144;68;37;22;
DEBE3D01YYK0002MpD;;0,604;8,445;ID_e73b2979-34a1-400d-a068-cba54dc0defe;791970052;LOD2;2111;385826,8;5821081,5;199;6;181,2;30,00;138,7;8;8,26;1033;29;53;130;225;221;230;204;203;145;69;38;23;
DEBE3DnuplDev98k;1905;0,433;21,077;ID_3fe17468-8543-44d8-860c-de1bb6e0b9b4;2119786090;LOD2;1010;384551,8;5820885,3;180;0;161,5;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000Cxy_01;;0,500;18,616;ID_a6daab83-5df5-4889-8b98-c8628222e981;1920256686;LOD2;1010;384448,9;5820021,2;175;4;62,6;30,00;138,7;2;2,07;1033;28;52;127;223;219;228;203;200;142;68;37;22;
DEBE04YY500003W8_01;;0,228;12,465;ID_79e37db1-29c3-4c64-a510-b8316135b21f;561486200;LOD2;2143;385469,7;5821465,6;180;0;1538,3;30,00;138,7;69;71,28;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DuWWifsvqMj;1905;0,387;25,714;ID_07b41ca0-53b2-4422-ba5c-2f9c97ed54c5;404052991;LOD2;1022;385099,2;5821225,9;88;2;58,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DRcMM8PU7Xn;;0,303;25,504;ID_c7dae472-0675-4495-82bf-990d2f77bee9;712609771;LOD2;1010;384986,0;5820272,5;180;0;84,4;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DMwql47cT9X;1900;0,456;27,648;ID_eb0cf1eb-47d4-421c-b982-0b615cf9b94f;1003624350;LOD2;2020;385606,7;5820881,3;180;0;53,8;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_090b8759-8738-4ef4-b07e-39c4a6d858ce;1900;0,314;19,477;ID_7e3e08ac-fa43-4697-b91f-53ac45db8611;1135424553;LOD2;1010;385189,1;5820791,7;180;0;207,6;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002O0O;;0,878;4,500;ID_ad6b75cb-b400-42f4-a689-aadd734d13f9;1054109937;LOD2;2500;385815,4;5821117,1;17;5;105,7;30,00;138,7;4;4,13;1033;26;47;110;202;209;222;197;187;127;61;31;21;
DEBE3DnjdD5MmIiO;1905;0,308;21,672;ID_f97cd2a7-d401-413f-842b-4fa3dc6a7537;58680053;LOD2;1010;385406,9;5820833,1;180;10;247,8;30,00;138,7;11;11,36;1033;29;54;135;232;223;229;205;205;149;71;40;23;
DEBE3DMZ6hTbleQh;1900;0,258;21,541;ID_5f25a030-20e9-47f9-861b-ab6eb793951c;1876946333;LOD2;1010;385057,3;5820827,0;272;2;266,8;30,00;138,7;12;12,40;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DMZ6hTbleQh;1900;0,258;21,541;ID_20c349c6-1add-4e1e-8fc0-4b9cd109e9a3;2090414874;LOD2;1010;385057,3;5820827,0;272;53;123,5;40,00;133,1;7;6,94;991;34;60;147;227;212;223;186;206;153;74;45;27;
DEBE04YY500009QV_02;;0,524;8,894;ID_def858b2-1136-4215-a1cf-0cff79418f39;1673410405;LOD2;3081;384111,5;5820705,6;265;13;70,9;40,00;136,7;4;4,07;1018;33;59;139;232;226;238;206;211;151;74;42;26;
UUID_3c5ba5dd-228f-4226-a522-e6c7574ef2df;1925;0,267;19,169;ID_7ec44276-a054-4d9a-ad61-20d3cb76658f;519597306;LOD2;1010;384647,3;5820971,3;285;42;173,7;40,00;128,3;10;9,55;955;29;55;133;215;211;229;191;201;142;69;38;23;
UUID_3c5ba5dd-228f-4226-a522-e6c7574ef2df;1925;0,267;19,169;ID_b28cb66c-0742-48f2-8482-8df16a55f753;2060572397;LOD2;1010;384647,3;5820971,3;194;34;203,2;40,00;145,1;12;12,97;1081;36;65;168;260;225;224;199;218;176;85;55;27;
UUID_3c5ba5dd-228f-4226-a522-e6c7574ef2df;1925;0,267;19,169;ID_b6959fd6-f5f0-4f57-bee3-42b0862a04ec;318579487;LOD2;1010;384647,3;5820971,3;180;0;2305,6;30,00;138,7;103;106,40;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dd6pq96v7vM;1905;0,494;22,950;ID_b0e7fea9-2054-4ebe-ac2d-7c6d4422aab5;280027757;LOD2;1010;384568,9;5820622,3;180;0;84,7;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_3637e33b-a543-4bf5-aba8-0e79f29656a1;;0,287;19,335;ID_dfe27cd0-fb38-402b-b24e-5d00d9128f14;1125416828;LOD2;1010;384897,4;5820083,3;180;0;103,4;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000IPB_02;;0,478;17,863;ID_e4d67bf2-d94c-4a37-9c7a-7ff0eb03c9a1;1444645429;LOD2;1010;385491,5;5820209,4;180;0;63,5;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000IPB_01;;0,467;17,925;ID_dbfe0128-e761-44d6-9f6e-57594c38463d;1247371138;LOD2;1010;385487,0;5820171,0;180;0;66,8;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DnXAJoKyNss;;0,535;19,412;ID_95e99dfe-98e6-42f7-8d51-74055ddf6133;1004562892;LOD2;1010;385861,4;5821295,3;174;16;99,4;40,00;134,6;5;5,01;1002;29;54;139;237;224;229;204;207;153;72;41;22;
DEBE3D04YY50002czp;;1,391;4,491;ID_3ec62ef1-8e62-456f-90ee-3aef5543a363;1642139824;LOD2;1610;385777,0;5821410,6;164;2;55,1;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE01YYK0002LAo_02;;0,686;20,926;ID_3b0a2d78-be7b-4d55-b4b6-36407ec15794;511710958;LOD2;1120;385967,8;5821162,0;198;69;112,3;40,00;129,8;6;5,80;966;38;68;171;234;179;173;155;187;171;88;62;29;
DEBE3DlMwKNVPiQp;1905;0,436;23,131;ID_a2c4961d-d65e-4fe1-8a79-4382b02159f6;2068556507;LOD2;1010;384604,9;5820594,7;235;2;104,4;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DlMwKNVPiQp;1905;0,436;23,131;ID_e57e8e12-2524-4b3f-bd4f-0113f6708ca2;2048787794;LOD2;1010;384604,9;5820594,7;235;44;80,0;40,00;150,4;4;4,48;1120;44;72;175;261;228;232;198;225;180;90;61;36;
UUID_117165f2-a220-4b12-811b-555c5baf92bf;;0,380;24,014;ID_02d130fd-d9e6-4b46-93b3-e4002b0369fa;2067987133;LOD2;1010;384933,5;5820944,1;180;0;197,3;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000EEG;;0,833;3,892;ID_ab6c4e5c-fc83-4cdb-a2e0-9f33958ceb5e;268034321;LOD2;1000;385161,3;5821757,9;259;27;78,5;40,00;141,6;4;4,22;1055;36;63;150;241;229;241;206;217;160;78;47;28;
DEBE3D04YY50000N5d;;0,404;19,849;ID_8d65910b-4828-4431-b14d-9dc0dc8f55d2;730513972;LOD2;1010;384868,5;5820330,0;180;0;499,0;30,00;138,7;22;22,73;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DgmxjPjpa9J;;0,233;23,642;ID_823393fc-041a-40d0-bb0e-66c1a45c7961;232990274;LOD2;1010;384775,3;5820359,1;182;34;306,7;40,00;139,3;18;18,67;1037;31;59;157;251;221;220;198;212;168;78;50;23;
DEBE3DVLwZYj28GI;1955;0,484;17,109;ID_40eacdb5-3ca7-4f1e-acba-156adf4b5b3f;1947167549;LOD2;1010;384799,0;5820920,2;286;3;71,5;30,00;138,7;3;3,10;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE3DZj1j3PCMTU;1955;0,276;10,132;ID_8236ee22-a44b-4d90-a5c5-b855497a9098;723224101;LOD2;2054;385300,2;5820630,2;180;0;167,1;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DILqw8Vt9SY;1905;0,254;22,179;ID_7c195c1e-2a0b-4eae-8807-a6a26c34534a;586710336;LOD2;1010;384726,8;5820758,0;195;41;81,4;40,00;144,6;4;4,31;1077;36;66;171;260;221;219;195;216;178;86;57;27;
DEBE3DILqw8Vt9SY;1905;0,254;22,179;ID_9a36cfd7-59e7-41ea-8a3b-afa76bbbec06;1714803566;LOD2;1010;384726,8;5820758,0;195;1;89,0;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DmG2Qk58cek;;0,414;21,425;ID_83f8881c-286d-49cb-9f4e-c9995216c5bd;1905858158;LOD2;1010;385795,3;5820910,0;108;7;91,0;30,00;138,7;4;4,13;1033;25;47;116;210;212;222;198;191;132;62;32;20;
UUID_9c632d25-c787-4230-9bff-52ee37d28a93;;0,236;12,663;ID_d1308fc4-4cb9-48d1-bd7a-74469dde0640;679344834;LOD2;2142;385634,2;5821627,9;180;0;1500,8;30,00;138,7;67;69,21;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002O63;;0,248;9,290;ID_2d360292-dea5-4286-a8cc-93dda6304126;1128244553;LOD2;2111;385913,1;5821525,6;180;0;7714,7;30,00;138,7;347;358,45;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DbLaypYhIck;1900;0,613;21,650;ID_28623651-1ff7-4a73-afc4-90c6e1348791;1710760534;LOD2;1010;385280,8;5820775,4;3;7;55,6;30,00;138,7;2;2,07;1033;26;48;111;203;210;223;197;188;128;62;31;21;
DEBE3DqdaJS2HMk8;;0,564;5,001;ID_d37f599a-198b-4edc-9792-52f5d1366770;1344420964;LOD2;2020;385967,9;5820365,3;180;0;237,4;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DAbCFuvYrrW;;0,220;23,303;ID_1bcfd17c-fb95-4874-af7a-e53278776d3f;1400072795;LOD2;1010;385913,1;5820058,0;296;18;324,3;40,00;127,7;19;18,07;951;28;53;124;212;216;234;200;200;138;67;35;22;
DEBE3DAbCFuvYrrW;;0,220;23,303;ID_3d2db8a5-55a0-4e6d-be16-5a861a00d2cb;7231129;LOD2;1010;385913,1;5820058,0;116;3;72,6;30,00;138,7;3;3,10;1033;26;47;117;211;212;222;199;191;133;62;33;20;
DEBE3DGgG8Z4iQcW;;0,488;5,117;ID_13a97885-2cf0-4023-b797-a68412925b43;1601340306;LOD2;2200;385036,9;5821039,8;180;0;193,3;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DMBulzfbjdu;1905;0,348;14,054;ID_d2ddee86-3717-48f4-9a04-760ce34d6144;1002328613;LOD2;1010;385054,0;5821276,1;180;0;643,7;30,00;138,7;28;28,92;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D00YY2dO000rA;;0,590;6,844;ID_8db0bdb2-21af-443c-8c5e-5effa5370233;769973771;LOD2;2100;384476,9;5821743,1;180;0;143,9;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DXMZvTseOsv;1900;0,209;29,051;ID_2bb95621-54f0-4c17-a533-bf9f46b49b50;1388185507;LOD2;2020;385607,4;5820899,0;251;20;78,4;40,00;142,3;4;4,24;1060;36;63;150;243;230;241;207;218;161;79;47;29;
DEBE3DhtUbzy0pyo;1955;0,511;17,548;ID_e265646f-bbe5-4c73-bc8e-26ca645cff36;268988221;LOD2;1010;384952,4;5821083,6;196;36;213,3;40,00;145,1;12;12,97;1081;36;65;168;260;225;224;199;218;176;85;55;27;
DEBE04YY5000016D_01;;0,366;22,791;ID_c8f9fde7-a3d7-4d24-a556-957bed701420;1642048334;LOD2;1010;384712,7;5820227,7;180;0;118,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_ca668bfd-7000-4d83-a899-a88e0bfca2f0;;0,251;11,080;ID_3454d4ac-a783-4fee-ad11-3862e18d809e;1959684690;LOD2;2143;385165,9;5821267,3;180;0;2664,5;30,00;138,7;119;122,93;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000LrX;2013;0,558;7,999;ID_1be35adc-6f75-4e73-9317-17f1148c059a;1965691157;LOD2;2520;385468,3;5820454,0;180;0;432,2;30,00;138,7;19;19,63;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Dno;2013;0,320;12,349;ID_1d5d63be-222d-42f8-97c5-7d8ea8a17a00;708390649;LOD2;2140;385559,9;5820433,2;180;0;47,1;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Dno;2013;0,320;12,349;ID_a49888de-d347-4703-80e4-a8f8eb9c937a;1265470192;LOD2;2140;385559,9;5820433,2;229;13;100,5;40,00;141,4;6;6,32;1053;35;62;148;243;230;238;208;216;160;78;47;28;
DEBE3DDdjQ74rlSf;1905;0,340;20,315;ID_be98de59-a4cf-4a78-b989-1253323c3f92;613010934;LOD2;1010;384845,6;5820789,6;195;2;71,0;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DDfQcnLlqO2;;0,367;14,114;ID_33847593-8cbb-4d91-bce2-449e233eb96e;1025006407;LOD2;2142;385046,2;5821637,5;180;0;176,4;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000Cqv_01;1900;0,762;7,102;ID_ad16b695-4228-49e4-af3a-354f5d8194ad;1212449963;LOD2;1010;385512,5;5820892,0;90;3;62,6;30,00;138,7;2;2,07;1033;25;46;113;206;210;220;197;188;129;61;31;19;
DEBE04YY500002TA_002;2013;0,175;20,276;ID_4043980f-0f8e-4c92-817a-eb69d8f4408c;1362762500;LOD2;2521;385437,5;5820483,6;180;0;1714,7;30,00;138,7;77;79,54;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500003mm;;1,253;2,780;ID_db9c816f-11f7-4a8d-b018-e650a7031182;55038682;LOD2;2460;385547,3;5820118,1;180;0;68,8;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dr1N81XC3Vp;;0,491;19,211;ID_580cdf84-53f7-4e88-9de1-1a67c3f58eb2;1975328963;LOD2;1010;385874,1;5821384,1;180;0;188,2;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DHFRi4jZDQC;1905;0,454;20,972;ID_163604ee-f660-403c-bf61-337edf46188d;1766386452;LOD2;1010;384716,3;5820810,5;180;0;87,9;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500004Nu;;0,335;22,432;ID_08c0c6ea-79ef-4e45-a279-abd1d8901122;1546950891;LOD2;1010;384838,2;5820233,0;180;0;211,7;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_8835b6e5-8beb-46e1-bd9f-ff2c3bffaefe;1905;0,328;21,638;ID_fba035ee-6816-4940-b0c1-425a65dddcf4;1531698614;LOD2;1010;384736,8;5820579,1;180;0;593,9;30,00;138,7;26;26,86;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500003s0_001;;0,330;16,568;ID_950cec4e-0944-4bc5-a5d7-a402a4b541f4;1900984340;LOD2;3034;384289,8;5820143,0;355;10;83,2;30,00;138,7;3;3,10;1033;25;46;104;193;205;221;194;183;121;59;28;20;
DEBE04YY500003s0_001;;0,330;16,568;ID_1ad0a108-00dd-4658-ac54-a90ff3093060;978258277;LOD2;3034;384289,8;5820143,0;175;10;64,9;30,00;138,7;2;2,07;1033;29;53;133;230;222;229;204;204;148;70;39;22;
DEBE04YY500003s0_001;;0,330;16,568;ID_99a4ecda-ff3d-40ea-9a1a-ece29b819b98;1936091755;LOD2;3034;384289,8;5820143,0;78;8;73,8;30,00;138,7;3;3,10;1033;22;42;104;195;202;213;192;180;121;56;27;17;
DEBE04YY500003s0_001;;0,330;16,568;ID_375e58f4-015c-4d57-b897-6643a3c65d23;1500242721;LOD2;3034;384289,8;5820143,0;274;8;73,4;30,00;138,7;3;3,10;1033;31;56;131;224;222;235;205;205;145;71;39;24;
DEBE3D04YY500003nQ;;0,644;4,944;ID_aaf1a7e9-9d03-483e-8234-9acd29bbe1f5;1540712120;LOD2;3034;384512,8;5820134,6;265;13;152,8;40,00;136,7;9;9,16;1018;33;59;139;232;226;238;206;211;151;74;42;26;
DEBE3DiMFUu6x9eL;;0,302;17,879;ID_811419c1-0b95-490b-99a8-96906f35fe61;474572971;LOD2;1010;385496,2;5820108,8;180;0;374,2;30,00;138,7;16;16,53;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500004Nw;1900;1,332;2,880;ID_24051572-9e32-4611-bd16-3f7be0add34d;1243587625;LOD2;2460;385216,6;5820773,1;183;12;44,3;40,00;133,8;2;1,99;996;30;54;136;233;224;230;205;206;150;71;40;23;
DEBE3D01YYK0002NIE;;0,500;6,175;ID_d6ab5dad-4b10-43eb-964d-6b0c168a1f8b;100054757;LOD2;2464;385621,1;5821807,5;180;0;752,2;30,00;138,7;33;34,09;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dg0JmG6p7Lg;1905;0,453;21,886;ID_07efbff4-b64d-4c27-b44d-6e841bf6ca75;872131497;LOD2;1010;384595,4;5820736,7;158;36;52,5;40,00;129,8;3;2,90;967;25;49;140;236;215;214;196;200;152;68;41;18;
DEBE04YY50000H5r_02;;0,925;11,592;ID_87617adf-c795-4ab5-9e8f-a9f512d30897;66458396;LOD2;2010;385132,2;5820170,3;180;0;91,9;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DbGmlvMsfTP;;0,375;8,621;ID_69afe979-da64-4b1b-b5fd-b7f59c515c00;1596317782;LOD2;3065;385421,8;5820109,6;180;0;95,9;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500004PP;1955;0,373;18,566;ID_32c9a931-280a-4350-b9fb-634e7cefa328;1925858038;LOD2;1010;384994,4;5821161,1;285;37;140,6;40,00;129,7;8;7,73;966;30;56;133;217;214;232;195;203;143;69;38;23;
DEBE3DUTIsYTWZYC;1925;1,338;18,719;ID_3f8b55e2-5602-4697-95e3-c721425594aa;1079808711;LOD2;1010;384538,9;5821264,1;260;39;65,5;40,00;143,0;3;3,19;1064;38;65;158;244;226;238;200;218;164;81;50;30;
DEBE3Dcogx8ciw2f;1905;0,512;20,437;ID_3f9ffb2b-fc74-4234-ae58-8147bccafe77;751136629;LOD2;1010;384567,5;5820889,4;180;0;62,5;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000LeJ_004;;0,659;21,782;ID_8fca644d-8a7f-4110-b787-26e071ed2853;875687709;LOD2;1022;385406,1;5820226,5;180;0;45,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500004Lo;;0,198;23,321;ID_31faea54-04c8-4e02-a3c1-34582cbfd548;2108532331;LOD2;2020;385976,3;5820503,2;180;0;1962,3;30,00;138,7;88;90,90;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrYYvUdrgPD;;0,379;22,280;ID_dead02a4-3477-4718-acb8-fcc42b702baa;2029398718;LOD2;1010;385810,7;5820816,6;180;47;42,1;40,00;136,8;2;2,04;1018;31;59;160;249;212;209;189;206;169;79;52;23;
DEBE3DrYYvUdrgPD;;0,379;22,280;ID_bb32d4db-338f-4cdd-a6a1-3e7cac07b62b;717474686;LOD2;1010;385810,7;5820816,6;270;46;104,6;40,00;136,6;6;6,10;1017;34;61;149;232;219;232;194;211;155;76;46;27;
DEBE3Drhe17FHAPu;;0,558;23,175;ID_855967f2-85f1-4211-89f6-fc684713beb9;654385066;LOD2;1010;384757,1;5820288,5;273;11;58,6;40,00;132,6;3;2,96;988;31;56;131;224;222;235;205;205;145;71;39;24;
DEBE3DJGXtGuxau0;1900;0,282;24,312;ID_6ffac9c6-1481-4052-9e9a-183a6a8ab48b;2122738956;LOD2;1010;385533,2;5820881,4;180;0;490,6;30,00;138,7;22;22,73;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhhwSupqTAj;1905;0,493;21,261;ID_803c208a-e60d-454f-92aa-6581948effd8;989986693;LOD2;1010;384873,3;5820786,1;15;9;97,6;30,00;138,7;4;4,13;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3Dha9AMItFEU;;0,272;20,891;ID_99c2faa4-1390-4d9b-a83b-c1370e611917;1900940067;LOD2;1010;384868,5;5820029,1;180;0;130,3;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DZbpFspmW5J;;0,570;18,810;ID_c8272255-edef-4099-a9ab-3f272df144a7;1704388271;LOD2;2020;384451,2;5820077,2;265;6;43,1;30,00;138,7;1;1,03;1033;30;54;128;222;221;232;204;202;143;69;38;24;
DEBE3D01YYK0002NEn;;0,322;20,154;ID_3971658b-5df2-4142-a007-21c88da8f8ce;1624799007;LOD2;1010;385782,5;5820814,6;180;0;581,2;30,00;138,7;26;26,86;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DY2gOUgPhZq;1905;0,857;21,478;ID_5212a6ec-79d6-4711-97d4-79b918c90d6f;1217757693;LOD2;1010;384707,3;5820887,0;195;10;296,1;30,00;138,7;13;13,43;1033;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE3DDv9TmXu1Ju;1900;0,459;22,246;ID_e45190e0-b7eb-4bc5-af7d-eb7ebcf12c45;626313719;LOD2;1010;385208,6;5820821,2;270;7;95,2;30,00;138,7;4;4,13;1033;30;54;127;221;220;232;204;202;142;69;37;24;
DEBE3DRsSRcbdbtU;;2,397;0,928;ID_0f62f147-f46c-4a18-9acd-90d6f742fafd;809773504;LOD2;2500;385463,2;5820257,4;180;0;74,1;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
